X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,6.8405[1.76694],6.75663[1.72177],6.92108[1.8056],45,0
3,Pref0,0[0],0[0],0[0],45,0
3,Signal0,0[0],0[0],0[0],45,0
3,Hybridindex,6.76775[1.74268],6.67141[1.72155],6.86087[1.75785],46,0
3,Pref0,0[0],0[0],0[0],46,0
3,Signal0,0[0],0[0],0[0],46,0
3,Hybridindex,6.773[1.74577],6.75049[1.7169],6.79662[1.77525],47,0
3,Pref0,0[0],0[0],0[0],47,0
3,Signal0,0[0],0[0],0[0],47,0
3,Hybridindex,6.78125[1.77229],6.85522[1.74639],6.712[1.79344],48,0
3,Pref0,0[0],0[0],0[0],48,0
3,Signal0,0[0],0[0],0[0],48,0
3,Hybridindex,6.812[1.7454],6.83517[1.72194],6.78892[1.76815],49,0
3,Pref0,0[0],0[0],0[0],49,0
3,Signal0,0[0],0[0],0[0],49,0
3,Hybridindex,6.834[1.66657],6.83283[1.69645],6.83516[1.63639],50,0
3,Pref0,0[0],0[0],0[0],50,0
3,Signal0,0[0],0[0],0[0],50,0
3,Hybridindex,6.87575[1.70175],6.81123[1.74124],6.93874[1.65986],51,0
3,Pref0,0[0],0[0],0[0],51,0
3,Signal0,0[0],0[0],0[0],51,0
3,Hybridindex,6.78725[1.66722],6.78649[1.67124],6.78802[1.66313],52,0
3,Pref0,0[0],0[0],0[0],52,0
3,Signal0,0[0],0[0],0[0],52,0
3,Hybridindex,6.766[1.67265],6.78854[1.64557],6.74519[1.69699],53,0
3,Pref0,0[0],0[0],0[0],53,0
3,Signal0,0[0],0[0],0[0],53,0
3,Hybridindex,6.8135[1.68893],6.82759[1.68573],6.79898[1.69208],54,0
3,Pref0,0[0],0[0],0[0],54,0
3,Signal0,0[0],0[0],0[0],54,0
3,Hybridindex,6.77375[1.72451],6.81915[1.75718],6.72516[1.68748],55,0
3,Pref0,0[0],0[0],0[0],55,0
3,Signal0,0[0],0[0],0[0],55,0
3,Hybridindex,6.73925[1.73778],6.7451[1.73296],6.73316[1.74276],56,0
3,Pref0,0[0],0[0],0[0],56,0
3,Signal0,0[0],0[0],0[0],56,0
3,Hybridindex,6.647[1.73598],6.6945[1.78291],6.59776[1.68455],57,0
3,Pref0,0[0],0[0],0[0],57,0
3,Signal0,0[0],0[0],0[0],57,0
